FREQUENCY,SEX,ESTIMATED AGE AT CAPTURE (days),HANDLING TIME (min),DENSITY OF HOMES (per Km2),MARK SURVIVAL CODE (8-week Intervals),CLASSIFICATION
13.103,F,14.6,9,127,10000000,suburban
13.564,M,8.5,6,536,10000000,urban
13.803,F,6.2,5,1033,10000000,urban
14.622,M,4.4,6,516,10000000,urban
14.972,F,10.3,4,553,10000000,urban
13.202,F,17.4,6,21,10100000,exurban
13.622,F,6.2,4,0,10100000,rural
14.392,F,1.8,11,3,10100000,rural
14.852,F,5.9,3,2,10100000,rural
13.064,M,1.4,7,457,10100000,urban
13.184,M,7.9,8,400,10100000,urban
13.523,F,9.0,6,337,10100000,urban
14.432,M,3.3,3,571,10100000,urban
13.603,F,7.4,6,2,10101000,rural
14.052,M,4.6,4,31,10101000,suburban
13.583,M,10.7,5,475,10101000,urban
14.253 ,M,3.6,7,6,10101010,exurban
14.412,M,4.0,4,15,10101010,exurban
14.611,F,2.8,6,21,10101010,exurban
13.022,F,7.4,8,2,10101010,rural
13.081,M,18.0,5,2,10101010,rural
13.783,M,16.3,5,0,10101010,rural
13.903,F,15.7,4,2,10101010,rural
13.922,F,20.2,7,5,10101010,rural
13.943,M,14.1,4,2,10101010,rural
14.472,M,2.0,5,0,10101010,rural
14.564,F,2.7,6,2,10101010,rural
14.731,F,0.9,4,0,10101010,rural
13.364,F,4.0,8,71,10101010,suburban
14.174,F,4.2,6,141,10101010,suburban
13.003,F,10.2,9,487,10101010,urban
13.143,F,9.0,9,303,10101010,urban
13.441,M,11.8,6,434,10101010,urban
13.483,F,6.8,7,880,10101010,urban
13.544,M,8.5,6,453,10101010,urban
13.683,M,8.5,12,460,10101010,urban
13.723,F,3.5,7,311,10101010,urban
13.762,M,9.6,2,337,10101010,urban
13.843,F,6.2,6,796,10101010,urban
13.883,M,10.2,11,336,10101010,urban
13.983,F,9.6,6,266,10101010,urban
14.043,F,2.9,8,422,10101010,urban
14.153,M,2.0,4,446,10101010,urban
14.163,F,20.6,5,303,10101010,urban
14.192,F,4.9,3,347,10101010,urban
14.234,F,3.4,5,481,10101010,urban
14.243,F,3.0,4,399,10101010,urban
14.273,M,1.5,4,1009,10101010,urban
14.304,M,4.8,5,424,10101010,urban
14.344,M,3.3,5,355,10101010,urban
14.382,F,3.1,8,728,10101010,urban
14.403,M,4.7,9,515,10101010,urban
14.462,F,3.2,6,895,10101010,urban
14.523,M,3.4,4,985,10101010,urban
14.603,M,3.5,8,825,10101010,urban
14.631,F,2.5,8,314,10101010,urban
14.642,F,2.3,6,529,10101010,urban
14.664,F,5.0,3,395,10101010,urban
14.771,M,4.1,3,441,10101010,urban
14.871,M,35.2,2,596,10101010,urban
14.911,F,1.5,4,481,10101010,urban
14.932,M,2.0,3,446,10101010,urban
14.951,M,3.6,5,425,10101010,urban
14.991,F,2.9,14,364,10101010,urban
13.262,M,11.8,8,2,10101011,rural
13.423,F,9.6,7,2,10101011,rural
13.744,M,9.6,6,2,10101011,rural
13.163,M,10.7,6,100,10101011,suburban
13.322,F,7.4,9,19,10101100,exurban
14.132,F,3.9,4,378,10101100,urban
14.322,F,1.8,10,537,10101100,urban
14.651,F,1.5,6,346,10101100,urban
13.283,F,4.0,9,873,10110000,urban
13.642,M,14.6,9,401,10110000,urban
13.664,M,14.6,8,429,10110000,urban
13.822,F,9.0,6,482,10110000,urban
14.702,M,4.4,7,515,10110000,urban
13.123,F,14.6,6,2,11000000,rural
13.223,F,9.0,13,0,11000000,rural
13.382,F,11.3,6,0,11000000,rural
13.702,M,5.1,8,0,11000000,rural
14.012,F,2.6,6,0,11000000,rural
14.032,M,4.9,4,1,11000000,rural
14.093,F,4.0,6,2,11000000,rural
14.113,M,3.1,7,0,11000000,rural
14.184,M,4.0,4,3,11000000,rural
14.292,M,3.0,6,2,11000000,rural
14.313,M,5.7,8,1,11000000,rural
14.333,F,3.8,7,2,11000000,rural
14.372,M,2.6,9,0,11000000,rural
14.513,M,3.0,6,2,11000000,rural
14.711,F,2.0,8,3,11000000,rural
14.752,F,4.4,6,2,11000000,rural
14.791,F,7.5,5,1,11000000,rural
14.862,M,1.2,7,0,11000000,rural
14.962,M,2.5,4,2,11000000,rural
13.304,M,3.5,6,146,11000000,suburban
13.962,M,6.2,7,71,11000000,suburban
14.452,M,2.9,7,76,11000000,suburban
14.552,M,2.7,5,46,11000000,suburban
14.592,M,16.5,4,28,11000000,suburban
14.822,M,4.1,4,64,11000000,suburban
13.243,F,7.4,5,880,11000000,urban
13.505,F,6.8,8,434,11000000,urban
14.071,M,5.5,8,353,11000000,urban
14.202,M,10.7,6,458,11000000,urban
14.283,M,32.0,3,444,11000000,urban
14.352,M,3.6,6,417,11000000,urban
14.531,M,23.8,3,273,11000000,urban
14.691,F,15.3,2,262,11000000,urban
14.811,F,2.0,4,984,11000000,urban
14.891,F,3.1,8,831,11000000,urban
,,,,,,rural
,,,,,,suburban
,,,,,,urban
,,,,,,urban
,,,,,,urban
,,,,,,urban
,,,,,,urban
